id,session_id,profile_id,game_id,game_version,n_events,n_errors,n_hints,completion_seconds,features,skill_scores,quality_flags,created_at,updated_at
91ffe451-d404-4ca2-adc7-a8cbbf097945,27007c16-9a5c-4906-acf7-af9a317036cf,3eafff1d-e7a2-4e47-9a9d-e99388ee041b,triage,v1,26,2,0,56,"{'accuracy': 0.75, 'score_total': 6, 'turns_total': 8, 'strategy_entropy': 0.6931471805599453, 'switch_after_win_rate': 0.8333333333333334, 'decision_latency_sd_ms': 4370.762043315297, 'switch_after_loss_rate': 0, 'decision_latency_mean_ms': 5962.625}",{'planning_prioritization': 0.6738140492857085},"{'low_data': False, 'n_events': 26, 'n_actions': 8, 'rt_valid_n': 8, 'has_run_end': True}",2026-03-12T12:56:16.255875+00:00,2026-03-12T12:56:16.229+00:00
8420b661-5cae-476a-81ab-266b0e657317,e2e4be2b-2cca-43d6-b4fb-29c88b693984,3eafff1d-e7a2-4e47-9a9d-e99388ee041b,gonogo,v1,62,40,0,82,"{'rt_trend': -4.861580630424851, 'miss_rate': 0.8444444444444444, 'mean_rt_go': 113.71428571428571, 'final_score': 60, 'go_accuracy': 0.15555555555555556, 'data_quality': 'warn', 'fatigue_drop': 0.12648221343873517, 'nogo_accuracy': 0.8666666666666667, 'rt_variability': 73.09289588305712, 'false_alarm_rate': 0.13333333333333333, 'post_error_slowing': -23.83333333333333, 'inhibition_index_01': 0.8666666666666667, 'impulsivity_index_01': 0.13333333333333333}",{'self_control_inhibition': 0.8666666666666667},"{'n_go': 45, 'n_nogo': 15, 'low_data': False, 'n_events': 62, 'n_actions': 60, 'has_run_end': True, 'data_quality': 'warn', 'rt_valid_go_n': 7}",2026-03-12T12:57:57.150819+00:00,2026-03-12T12:57:57.124+00:00
be7a7f2b-a54e-41a1-8269-fbfe81e5ad3b,cac1d902-09c0-41b7-ab80-77581a374e7f,3ac6508f-b936-44ad-8f8d-eeaf0e6848ee,triage,v1,26,6,0,53,"{'accuracy': 0.25, 'score_total': 2, 'turns_total': 8, 'strategy_entropy': 0.6931471805599453, 'switch_after_win_rate': 0.5, 'decision_latency_sd_ms': 2141.910478988326, 'switch_after_loss_rate': 0.6, 'decision_latency_mean_ms': 6234.25}",{'planning_prioritization': 0.2738140492857085},"{'low_data': False, 'n_events': 26, 'n_actions': 8, 'rt_valid_n': 8, 'has_run_end': True}",2026-03-12T12:59:53.864569+00:00,2026-03-12T12:59:53.838+00:00
72d22659-f64d-41cb-9096-1c877479ceab,203eb2cf-18f4-4e99-b21d-94c5f93395df,3ac6508f-b936-44ad-8f8d-eeaf0e6848ee,gonogo,v1,62,44,0,88,"{'rt_trend': None, 'miss_rate': 0.9777777777777777, 'mean_rt_go': 197, 'final_score': 66, 'go_accuracy': 0.022222222222222223, 'data_quality': 'warn', 'fatigue_drop': -0.047619047619047616, 'nogo_accuracy': 1, 'rt_variability': None, 'false_alarm_rate': 0, 'post_error_slowing': None, 'inhibition_index_01': 1, 'impulsivity_index_01': 0}",{'self_control_inhibition': 1},"{'n_go': 45, 'n_nogo': 15, 'low_data': False, 'n_events': 62, 'n_actions': 60, 'has_run_end': True, 'data_quality': 'warn', 'rt_valid_go_n': 1}",2026-03-12T13:01:29.851028+00:00,2026-03-12T13:01:29.826+00:00
90bf7e1b-4517-4489-ac66-d36d00905904,e316ec20-f844-4b3c-8b90-35067a58d7b1,3eafff1d-e7a2-4e47-9a9d-e99388ee041b,negotiation,v1,26,0,0,172,"{'oi_01': 0.7166666666666667, 'oi_sum': 2.5999999999999996, 'sdi_01': 0.7999999999999999, 'sri_01': 0.11666666666666665, 'sdi_sum': 4.8, 'sri_sum': 0.7, 'rt_sd_ms': 4484.956220522114, 'n_actions': 12, 'n_invalid': 0, 'n_missing': 0, 'mean_rt_ms': 15987.5, 'final_score': 79, 'data_quality': 'ok', 'n_turns_expected': 6}","{'social_risk_01': 0.11666666666666665, 'strategic_depth_01': 0.7999999999999999, 'negotiation_skill_01': 0.7875, 'cooperative_orientation_01': 0.7166666666666667}","{'low_data': False, 'n_events': 26, 'n_actions': 12, 'n_expected': 6, 'rt_valid_n': 6, 'has_run_end': True, 'data_quality': 'ok', 'invalid_actions': 0, 'missing_actions': 0}",2026-03-12T13:01:31.419018+00:00,2026-03-12T13:01:31.365+00:00
19c0a8f0-3924-46af-9200-ddfc9377aabf,b1056a66-15c2-4e4a-87c7-010592bdfce8,3ac6508f-b936-44ad-8f8d-eeaf0e6848ee,negotiation,v1,26,0,0,196,"{'oi_01': 0.625, 'oi_sum': 1.5000000000000002, 'sdi_01': 0.7166666666666667, 'sri_01': 0.23333333333333336, 'sdi_sum': 4.3, 'sri_sum': 1.4000000000000001, 'rt_sd_ms': 16045.199112714889, 'n_actions': 12, 'n_invalid': 0, 'n_missing': 0, 'mean_rt_ms': 21764.166666666668, 'final_score': 69, 'data_quality': 'ok', 'n_turns_expected': 6}","{'social_risk_01': 0.23333333333333336, 'strategic_depth_01': 0.7166666666666667, 'negotiation_skill_01': 0.6945833333333333, 'cooperative_orientation_01': 0.625}","{'low_data': False, 'n_events': 26, 'n_actions': 12, 'n_expected': 6, 'rt_valid_n': 6, 'has_run_end': True, 'data_quality': 'ok', 'invalid_actions': 0, 'missing_actions': 0}",2026-03-12T13:04:53.60643+00:00,2026-03-12T13:04:53.576+00:00
23a5512e-0dca-40ee-9569-e60297093b0b,b0e87965-a793-4f16-899d-4e14e37cc9a7,867d1f34-4148-42e9-865b-15889571ad89,triage,v1,26,4,0,86,"{'accuracy': 0.5, 'score_total': 4, 'turns_total': 8, 'strategy_entropy': 0.9743147528693494, 'switch_after_win_rate': 0.5, 'decision_latency_sd_ms': 7882.608794727434, 'switch_after_loss_rate': 0.3333333333333333, 'decision_latency_mean_ms': 10197.625}",{'planning_prioritization': 0.42262809857141703},"{'low_data': False, 'n_events': 26, 'n_actions': 8, 'rt_valid_n': 8, 'has_run_end': True}",2026-03-12T13:37:28.255805+00:00,2026-03-12T13:37:28.224+00:00
6e1e5cad-3151-4ba1-bd1e-505508d7edee,64a8fc33-4a1f-4d1b-9f2a-836bcb41b8b8,867d1f34-4148-42e9-865b-15889571ad89,gonogo,v1,62,40,0,87,"{'rt_trend': -0.23041296796603628, 'miss_rate': 0.8222222222222222, 'mean_rt_go': 279.125, 'final_score': 60, 'go_accuracy': 0.17777777777777778, 'data_quality': 'warn', 'fatigue_drop': -0.34782608695652173, 'nogo_accuracy': 0.8, 'rt_variability': 7.100050301632678, 'false_alarm_rate': 0.2, 'post_error_slowing': -3.3999999999999773, 'inhibition_index_01': 0.8, 'impulsivity_index_01': 0.2}",{'self_control_inhibition': 0.8},"{'n_go': 45, 'n_nogo': 15, 'low_data': False, 'n_events': 62, 'n_actions': 60, 'has_run_end': True, 'data_quality': 'warn', 'rt_valid_go_n': 8}",2026-03-12T13:39:20.631+00:00,2026-03-12T13:39:20.594+00:00
f0f979eb-2e93-475f-a7e5-416a800d1f4d,cac2c0d2-13cf-41ce-8825-4fed4b5b6545,867d1f34-4148-42e9-865b-15889571ad89,negotiation,v1,26,0,0,208,"{'oi_01': 0.625, 'oi_sum': 1.5000000000000002, 'sdi_01': 0.7166666666666667, 'sri_01': 0.23333333333333336, 'sdi_sum': 4.3, 'sri_sum': 1.4000000000000001, 'rt_sd_ms': 9154.107305830901, 'n_actions': 12, 'n_invalid': 0, 'n_missing': 0, 'mean_rt_ms': 16823.833333333332, 'final_score': 69, 'data_quality': 'ok', 'n_turns_expected': 6}","{'social_risk_01': 0.23333333333333336, 'strategic_depth_01': 0.7166666666666667, 'negotiation_skill_01': 0.6945833333333333, 'cooperative_orientation_01': 0.625}","{'low_data': False, 'n_events': 26, 'n_actions': 12, 'n_expected': 6, 'rt_valid_n': 6, 'has_run_end': True, 'data_quality': 'ok', 'invalid_actions': 0, 'missing_actions': 0}",2026-03-12T13:43:13.435218+00:00,2026-03-12T13:43:13.378+00:00
ca4274ce-d6aa-4686-a0c4-54614aa3d11a,50baa54e-8f30-460d-ac58-866dd6016697,10a6e06d-839c-46e1-bcf2-fc948adff31d,triage,v1,26,2,0,65,"{'accuracy': 0.75, 'score_total': 6, 'turns_total': 8, 'strategy_entropy': 1.0821955300387671, 'switch_after_win_rate': 0.4, 'decision_latency_sd_ms': 4504.638353567195, 'switch_after_loss_rate': 1, 'decision_latency_mean_ms': 7755.125}",{'planning_prioritization': 0.6029886355356985},"{'low_data': False, 'n_events': 26, 'n_actions': 8, 'rt_valid_n': 8, 'has_run_end': True}",2026-03-12T14:15:41.531156+00:00,2026-03-12T14:15:41.506+00:00
