id,profile_id,game_id,game_version,role_context,status,started_at,ended_at,total_seconds,device,metadata,created_at,updated_at
7d8c82ef-34a5-4717-9587-d9754e368e0e,4983dc33-eb5d-46e1-92d4-2fa383334b78,negotiation,v1,sales_ops,completed,2026-03-16T16:27:33.17+00:00,2026-03-16T16:31:20.81+00:00,228.0,,"{'version': 'v1', 'n_scenarios': 12}",2026-03-16T16:27:33.245063+00:00,2026-03-16T16:31:20.957759+00:00
27007c16-9a5c-4906-acf7-af9a317036cf,3eafff1d-e7a2-4e47-9a9d-e99388ee041b,triage,v1,sales_ops,completed,2026-03-12T12:55:19.861+00:00,2026-03-12T12:56:16.229+00:00,56.0,,"{'n_items': 8, 'role_variant': 'sales_ops'}",2026-03-12T12:55:19.838563+00:00,2026-03-12T12:56:16.308532+00:00
e2e4be2b-2cca-43d6-b4fb-29c88b693984,3eafff1d-e7a2-4e47-9a9d-e99388ee041b,gonogo,v1,sales_ops,completed,2026-03-12T12:56:35.545+00:00,2026-03-12T12:57:57.124+00:00,82.0,,,2026-03-12T12:56:35.429194+00:00,2026-03-12T12:57:57.18834+00:00
cac1d902-09c0-41b7-ab80-77581a374e7f,3ac6508f-b936-44ad-8f8d-eeaf0e6848ee,triage,v1,sales_ops,completed,2026-03-12T12:59:00.6+00:00,2026-03-12T12:59:53.838+00:00,53.0,,"{'n_items': 8, 'role_variant': 'sales_ops'}",2026-03-12T12:59:00.871485+00:00,2026-03-12T12:59:53.902397+00:00
b3bff059-2aa1-45e9-94db-0ac6993a4af4,515b2474-5968-4564-b620-60a42ecfaef8,gonogo,v1,sales_ops,started,2026-03-17T18:42:08.179+00:00,,,,,2026-03-17T18:42:06.238028+00:00,2026-03-17T18:42:06.238028+00:00
203eb2cf-18f4-4e99-b21d-94c5f93395df,3ac6508f-b936-44ad-8f8d-eeaf0e6848ee,gonogo,v1,sales_ops,completed,2026-03-12T13:00:01.479+00:00,2026-03-12T13:01:29.826+00:00,88.0,,,2026-03-12T13:00:01.602492+00:00,2026-03-12T13:01:29.925721+00:00
e316ec20-f844-4b3c-8b90-35067a58d7b1,3eafff1d-e7a2-4e47-9a9d-e99388ee041b,negotiation,v1,sales_ops,completed,2026-03-12T12:58:38.92+00:00,2026-03-12T13:01:31.365+00:00,172.0,,"{'version': 'v1', 'n_scenarios': 12}",2026-03-12T12:58:38.771398+00:00,2026-03-12T13:01:31.477914+00:00
b1056a66-15c2-4e4a-87c7-010592bdfce8,3ac6508f-b936-44ad-8f8d-eeaf0e6848ee,negotiation,v1,sales_ops,completed,2026-03-12T13:01:37.157+00:00,2026-03-12T13:04:53.576+00:00,196.0,,"{'version': 'v1', 'n_scenarios': 12}",2026-03-12T13:01:37.383185+00:00,2026-03-12T13:04:53.682342+00:00
b0e87965-a793-4f16-899d-4e14e37cc9a7,867d1f34-4148-42e9-865b-15889571ad89,triage,v1,sales_ops,completed,2026-03-12T13:36:02.07+00:00,2026-03-12T13:37:28.224+00:00,86.0,,"{'n_items': 8, 'role_variant': 'sales_ops'}",2026-03-12T13:36:02.333716+00:00,2026-03-12T13:37:28.304726+00:00
64a8fc33-4a1f-4d1b-9f2a-836bcb41b8b8,867d1f34-4148-42e9-865b-15889571ad89,gonogo,v1,sales_ops,completed,2026-03-12T13:37:53.745+00:00,2026-03-12T13:39:20.594+00:00,87.0,,,2026-03-12T13:37:53.901819+00:00,2026-03-12T13:39:20.680921+00:00
