user_id,scores,role_scores,suggested_role,confidence,updated_at,created_at
4bda9438-aff0-4838-b96d-88ac7af1ab0f,"{'D1': 85, 'D2': 70, 'D3': 63, 'D4': 44, 'D5': 69, 'motivation': {'result': 100, 'learning': 100, 'relation': 92, 'result_pct': 0.34246563614190545, 'learning_pct': 0.34246563614190545, 'relation_pct': 0.31506838525055303}}","{'developer': 83, 'sales_ops': 78, 'receptionist': 82}",developer,1,2026-03-12T12:23:06.783+00:00,2026-03-12T12:23:07.792168+00:00
3ac6508f-b936-44ad-8f8d-eeaf0e6848ee,"{'D1': 55, 'D2': 60, 'D3': 63, 'D4': 44, 'D5': 69, 'motivation': {'result': 83, 'learning': 92, 'relation': 67, 'result_pct': 0.34297506488633683, 'learning_pct': 0.3801651321631685, 'relation_pct': 0.2768593897275249}}","{'developer': 82, 'sales_ops': 86, 'receptionist': 82}",sales_ops,4,2026-03-12T12:58:31.9+00:00,2026-03-12T12:58:32.061801+00:00
3eafff1d-e7a2-4e47-9a9d-e99388ee041b,"{'D1': 85, 'D2': 80, 'D3': 63, 'D4': 75, 'D5': 31, 'motivation': {'result': 100, 'learning': 92, 'relation': 100, 'result_pct': 0.34246563614190545, 'learning_pct': 0.31506838525055303, 'relation_pct': 0.34246563614190545}}","{'developer': 76, 'sales_ops': 78, 'receptionist': 81}",receptionist,3,2026-03-12T13:08:17.716+00:00,2026-03-12T13:08:17.667838+00:00
867d1f34-4148-42e9-865b-15889571ad89,"{'D1': 75, 'D2': 75, 'D3': 81, 'D4': 44, 'D5': 81, 'motivation': {'result': 92, 'learning': 100, 'relation': 100, 'result_pct': 0.31506838525055303, 'learning_pct': 0.34246563614190545, 'relation_pct': 0.34246563614190545}}","{'developer': 78, 'sales_ops': 78, 'receptionist': 85}",receptionist,7,2026-03-12T13:35:42.122+00:00,2026-03-12T13:35:42.338888+00:00
10a6e06d-839c-46e1-bcf2-fc948adff31d,"{'D1': 65, 'D2': 65, 'D3': 31, 'D4': 56, 'D5': 50, 'motivation': {'result': 83, 'learning': 100, 'relation': 92, 'result_pct': 0.30181807206615563, 'learning_pct': 0.3636362314050068, 'relation_pct': 0.33454533289260624}}","{'developer': 77, 'sales_ops': 78, 'receptionist': 78}",sales_ops,0,2026-03-12T14:14:21.633+00:00,2026-03-12T14:14:21.754319+00:00
d7479702-1f11-424a-83c8-fb66e5db1097,"{'D1': 50, 'D2': 70, 'D3': 25, 'D4': 88, 'D5': 31, 'motivation': {'result': 83, 'learning': 100, 'relation': 83, 'result_pct': 0.3120299578834745, 'learning_pct': 0.3759397082933428, 'relation_pct': 0.3120299578834745}}","{'developer': 67, 'sales_ops': 74, 'receptionist': 74}",sales_ops,0,2026-03-12T14:56:17.25+00:00,2026-03-12T14:56:17.377664+00:00
1f9327a4-93a4-48d3-9e43-0aa6f57306b0,"{'D1': 55, 'D2': 55, 'D3': 44, 'D4': 63, 'D5': 56, 'motivation': {'result': 83, 'learning': 100, 'relation': 100, 'result_pct': 0.2932861154466023, 'learning_pct': 0.3533567655983161, 'relation_pct': 0.3533567655983161}}","{'developer': 77, 'sales_ops': 85, 'receptionist': 77}",sales_ops,8,2026-03-12T16:33:04.427+00:00,2026-03-12T16:33:04.790707+00:00
95f1f623-8606-4371-8947-ed804456aae0,"{'D1': 30, 'D2': 65, 'D3': 50, 'D4': 69, 'D5': 44, 'motivation': {'result': 100, 'learning': 100, 'relation': 100, 'result_pct': 0.3333332222222593, 'learning_pct': 0.3333332222222593, 'relation_pct': 0.3333332222222593}}","{'developer': 68, 'sales_ops': 80, 'receptionist': 77}",sales_ops,3,2026-03-12T20:59:19.225+00:00,2026-03-12T20:59:18.664736+00:00
d87cecce-e8cd-4a21-afeb-e6f544cfa6bf,"{'D1': 65, 'D2': 75, 'D3': 94, 'D4': 25, 'D5': 63, 'motivation': {'result': 92, 'learning': 100, 'relation': 50, 'result_pct': 0.3801651321631685, 'learning_pct': 0.4132229697425745, 'relation_pct': 0.20661148487128725}}","{'developer': 77, 'sales_ops': 78, 'receptionist': 80}",receptionist,2,2026-03-13T12:33:59.903+00:00,2026-03-13T12:34:00.238927+00:00
5b4b3665-89c7-4dc4-aead-b05cdbf6531a,"{'D1': 80, 'D2': 65, 'D3': 50, 'D4': 56, 'D5': 44, 'motivation': {'result': 92, 'learning': 92, 'relation': 75, 'result_pct': 0.3552122180647807, 'learning_pct': 0.3552122180647807, 'relation_pct': 0.28957517777020164}}","{'developer': 84, 'sales_ops': 80, 'receptionist': 82}",developer,2,2026-03-13T13:15:51.690299+00:00,2026-03-13T13:02:54.673999+00:00
