id,profile_id,step,responses,created_at,updated_at,instrument_version,completion_seconds
74acce09-0ea7-495d-a079-1eb8e21d5a59,4bda9438-aff0-4838-b96d-88ac7af1ab0f,profilo,"{'gender': 'donna', 'age_group': '35-44', 'field_of_study': 'Commercio ', 'education_level': 'diploma'}",2026-03-12T12:18:30.121642+00:00,2026-03-12T12:18:30.016+00:00,v1,
77945a1f-b921-4433-aecd-98b8bb1e8a30,4bda9438-aff0-4838-b96d-88ac7af1ab0f,competenze,"{'sector': 'Commercio ', 'role_type': 'commerciale', 'years_experience': '10+'}",2026-03-12T12:18:56.744875+00:00,2026-03-12T12:18:56.485+00:00,v1,
ed242c3e-64ca-41b1-a900-8f01fb2512cc,4bda9438-aff0-4838-b96d-88ac7af1ab0f,preferenze,"{'work_mode': 'presenza', 'target_role': 'receptionist', 'company_size': 'grande_impresa', 'main_motivation': 'crescita', 'job_satisfaction': '3', 'desired_seniority': 'senior'}",2026-03-12T12:19:30.113779+00:00,2026-03-12T12:19:30.018+00:00,v1,
e8e143fb-7991-4e01-9a30-125937a38e9c,3ac6508f-b936-44ad-8f8d-eeaf0e6848ee,profilo,"{'gender': 'donna', 'age_group': '25-34', 'field_of_study': 'Scenze della formazione', 'education_level': 'diploma'}",2026-03-12T12:53:37.760526+00:00,2026-03-12T12:53:37.485+00:00,v1,
582fd27e-83dd-4a3d-a8af-1e5f5967e002,3eafff1d-e7a2-4e47-9a9d-e99388ee041b,profilo,"{'gender': 'donna', 'age_group': '18-24', 'field_of_study': 'Informatica', 'education_level': 'diploma'}",2026-03-12T12:53:43.481493+00:00,2026-03-12T12:53:43.236+00:00,v1,
1aef919f-b43c-45e7-bfc7-527ae08ed84a,3eafff1d-e7a2-4e47-9a9d-e99388ee041b,competenze,"{'sector': 'Vendite', 'role_type': 'commerciale', 'years_experience': '3-5'}",2026-03-12T12:53:58.849133+00:00,2026-03-12T12:53:58.357+00:00,v1,
0964e131-0164-4c31-98fc-7724f0bbb728,3ac6508f-b936-44ad-8f8d-eeaf0e6848ee,competenze,"{'sector': 'Vendite', 'role_type': 'commerciale', 'years_experience': '10+'}",2026-03-12T12:54:06.568176+00:00,2026-03-12T12:54:06.466+00:00,v1,
190d8ee2-d04d-4c29-ad5f-1643abbff550,3ac6508f-b936-44ad-8f8d-eeaf0e6848ee,preferenze,"{'work_mode': 'presenza', 'target_role': 'sales_ops', 'company_size': 'grande_impresa', 'main_motivation': 'stabilita', 'job_satisfaction': '3', 'desired_seniority': 'junior'}",2026-03-12T12:54:44.278477+00:00,2026-03-12T12:54:43.906+00:00,v1,
d8bdbeee-574f-4f13-9ad1-2208cf42b390,3eafff1d-e7a2-4e47-9a9d-e99388ee041b,preferenze,"{'work_mode': 'presenza', 'target_role': 'sales_ops', 'company_size': 'grande_impresa', 'main_motivation': 'crescita', 'job_satisfaction': '5', 'desired_seniority': 'junior'}",2026-03-12T12:54:53.422432+00:00,2026-03-12T12:54:53.322+00:00,v1,
cc12806a-d1a3-40be-b17f-87abf3330605,d6f6775b-9d20-47e0-9489-e3b813b4342b,profilo,"{'gender': 'donna', 'age_group': '25-34', 'field_of_study': 'Artistico', 'education_level': 'diploma'}",2026-03-12T13:17:35.390831+00:00,2026-03-12T13:17:34.994+00:00,v1,
b482bdfa-0f0b-4fc3-b61f-bbffdece7712,867d1f34-4148-42e9-865b-15889571ad89,profilo,"{'gender': 'uomo', 'age_group': '35-44', 'field_of_study': 'Ragioniere programmatore', 'education_level': 'diploma'}",2026-03-12T13:26:51.196434+00:00,2026-03-12T13:26:50.857+00:00,v1,
6534be62-c60e-4c8f-96be-baab1b9c54d0,867d1f34-4148-42e9-865b-15889571ad89,competenze,"{'sector': 'Retail vendite ', 'role_type': 'organizzativo', 'years_experience': '10+'}",2026-03-12T13:27:31.764095+00:00,2026-03-12T13:27:31.627+00:00,v1,
9f902234-81b8-4de8-a3a0-c0c5ca8a9455,867d1f34-4148-42e9-865b-15889571ad89,preferenze,"{'work_mode': 'presenza', 'target_role': 'sales_ops', 'company_size': 'grande_impresa', 'main_motivation': 'crescita', 'job_satisfaction': '4', 'desired_seniority': 'senior'}",2026-03-12T13:28:28.783515+00:00,2026-03-12T13:28:28.531+00:00,v1,
825f4fcc-98b3-4ae2-989e-82d5a356d779,10a6e06d-839c-46e1-bcf2-fc948adff31d,profilo,"{'gender': 'uomo', 'age_group': '35-44', 'field_of_study': 'Informatica', 'education_level': 'dottorato'}",2026-03-12T14:07:55.342915+00:00,2026-03-12T14:07:55.082+00:00,v1,
5621929f-5b6c-4aa3-b73b-d9da8c67cbf0,10a6e06d-839c-46e1-bcf2-fc948adff31d,competenze,"{'sector': 'Tecnologia', 'role_type': 'tecnico', 'years_experience': '6-10'}",2026-03-12T14:08:57.653509+00:00,2026-03-12T14:08:57.502+00:00,v1,
548b1187-6c6a-45cb-afef-acf28e4c3f49,10a6e06d-839c-46e1-bcf2-fc948adff31d,preferenze,"{'work_mode': 'ibrido', 'target_role': 'developer', 'company_size': 'grande_impresa', 'main_motivation': 'stabilita', 'job_satisfaction': '4', 'desired_seniority': 'senior'}",2026-03-12T14:09:33.143095+00:00,2026-03-12T14:09:32.877+00:00,v1,
d0e3d355-938a-43b8-aa69-34e97f7e6282,c71a5702-5635-4d8f-a85a-31fed6afc1c8,profilo,"{'gender': 'donna', 'age_group': '25-34', 'field_of_study': 'Tecnico - Servizi Sociali', 'education_level': 'diploma'}",2026-03-12T14:38:50.046078+00:00,2026-03-12T14:38:49.678+00:00,v1,
5b596cdc-8961-492a-ac00-38b44e50ce19,c71a5702-5635-4d8f-a85a-31fed6afc1c8,competenze,"{'sector': 'Telefonia', 'role_type': 'commerciale', 'years_experience': '6-10'}",2026-03-12T14:39:11.054957+00:00,2026-03-12T14:39:10.945+00:00,v1,
f15bcff9-2536-428c-b5cb-303dfb040541,c71a5702-5635-4d8f-a85a-31fed6afc1c8,preferenze,"{'work_mode': 'presenza', 'target_role': 'sales_ops', 'company_size': 'grande_impresa', 'main_motivation': 'guadagno', 'job_satisfaction': '3', 'desired_seniority': 'mid'}",2026-03-12T14:39:59.818223+00:00,2026-03-12T14:39:59.505+00:00,v1,
c8210a32-c882-40aa-9ec7-16864501038e,d7479702-1f11-424a-83c8-fb66e5db1097,profilo,"{'gender': 'donna', 'age_group': '25-34', 'field_of_study': 'Linguistico ', 'education_level': 'diploma'}",2026-03-12T14:53:38.290882+00:00,2026-03-12T14:53:38.154+00:00,v1,
4ab8e5f0-b52d-4589-958c-af2526645f5e,d7479702-1f11-424a-83c8-fb66e5db1097,competenze,"{'sector': 'Bellezza', 'role_type': 'commerciale', 'years_experience': '6-10'}",2026-03-12T14:53:53.033234+00:00,2026-03-12T14:53:52.925+00:00,v1,
daef52ce-5bba-4887-9015-4c185135dc2a,d7479702-1f11-424a-83c8-fb66e5db1097,preferenze,"{'work_mode': 'presenza', 'target_role': 'sales_ops', 'company_size': 'grande_impresa', 'main_motivation': 'guadagno', 'job_satisfaction': '2', 'desired_seniority': 'senior'}",2026-03-12T14:54:25.081264+00:00,2026-03-12T14:54:24.924+00:00,v1,
9375f206-dd75-473c-83d3-2b9d64723356,3f8c7b86-b961-4e10-8b7c-2ed4b806d6f7,profilo,"{'gender': 'uomo', 'age_group': '18-24', 'field_of_study': 'Informatica', 'education_level': 'diploma'}",2026-03-12T16:06:59.309969+00:00,2026-03-12T16:06:59.039+00:00,v1,
ce7622d0-6277-4faa-a4ab-3d99aeb75c6e,3f8c7b86-b961-4e10-8b7c-2ed4b806d6f7,competenze,"{'sector': 'Consulenza Informatica', 'role_type': 'tecnico', 'years_experience': '3-5'}",2026-03-12T16:07:16.309912+00:00,2026-03-12T16:07:16.029+00:00,v1,
cd7c14e0-e4ab-4963-bee9-69a4d4f3ddac,3f8c7b86-b961-4e10-8b7c-2ed4b806d6f7,preferenze,"{'work_mode': 'remoto', 'target_role': 'developer', 'company_size': 'grande_impresa', 'main_motivation': 'stabilita', 'job_satisfaction': '4', 'desired_seniority': 'mid'}",2026-03-12T16:07:48.64872+00:00,2026-03-12T16:07:48.35+00:00,v1,
a284ffb2-43c1-4f46-ab82-d6ceb5fec8da,1f9327a4-93a4-48d3-9e43-0aa6f57306b0,profilo,"{'gender': 'uomo', 'age_group': '18-24', 'field_of_study': 'Informatica', 'education_level': 'laurea_triennale'}",2026-03-12T16:27:27.999185+00:00,2026-03-12T16:27:27.708+00:00,v1,
aaad9259-ea26-4f0b-8165-d80558dc3a09,1f9327a4-93a4-48d3-9e43-0aa6f57306b0,competenze,"{'sector': 'Informatica ', 'role_type': 'tecnico', 'years_experience': '3-5'}",2026-03-12T16:27:43.017789+00:00,2026-03-12T16:27:42.729+00:00,v1,
60c099ee-6aa9-4929-bc0f-a4cffa19c184,1f9327a4-93a4-48d3-9e43-0aa6f57306b0,preferenze,"{'work_mode': 'ibrido', 'target_role': 'developer', 'company_size': 'grande_impresa', 'main_motivation': 'crescita', 'job_satisfaction': '4', 'desired_seniority': 'mid'}",2026-03-12T16:28:31.905563+00:00,2026-03-12T16:28:31.789+00:00,v1,
c8828c1c-0671-4ada-a13d-bef821d7a8a3,95f1f623-8606-4371-8947-ed804456aae0,profilo,"{'gender': 'uomo', 'age_group': '18-24', 'field_of_study': 'Informatica', 'education_level': 'diploma'}",2026-03-12T20:39:21.782616+00:00,2026-03-12T20:39:21.501+00:00,v1,
04263736-9f6a-4483-bcee-e185d3efd2ea,95f1f623-8606-4371-8947-ed804456aae0,competenze,"{'sector': 'Sistemi e reti', 'role_type': 'tecnico', 'years_experience': '3-5'}",2026-03-12T20:39:37.488732+00:00,2026-03-12T20:39:37.396+00:00,v1,
8307a86d-751d-402d-8d0c-96ef9b6bdae4,95f1f623-8606-4371-8947-ed804456aae0,preferenze,"{'work_mode': 'ibrido', 'target_role': 'developer', 'company_size': 'grande_impresa', 'main_motivation': 'impatto', 'job_satisfaction': '3', 'desired_seniority': 'mid'}",2026-03-12T20:40:06.80469+00:00,2026-03-12T20:40:06.528+00:00,v1,
f1e9f23b-7b23-41ed-9b37-93fc51a9d82f,21a0dc6c-3910-4e91-8888-46cc6e29a62e,profilo,"{'gender': 'donna', 'age_group': '18-24', 'field_of_study': 'Grafica e Comunicazione ', 'education_level': 'diploma'}",2026-03-13T11:22:35.901363+00:00,2026-03-13T11:22:35.634+00:00,v1,
edbe9573-1fa3-4cbe-989e-2d00d85e9acb,21a0dc6c-3910-4e91-8888-46cc6e29a62e,competenze,"{'sector': 'amministrazione ', 'role_type': 'organizzativo', 'years_experience': '1-2'}",2026-03-13T11:27:54.541345+00:00,2026-03-13T11:27:54.217+00:00,v1,
b6b0b520-4e1c-468f-baa8-d730947df996,21a0dc6c-3910-4e91-8888-46cc6e29a62e,preferenze,"{'work_mode': 'presenza', 'target_role': 'sales_ops', 'company_size': 'startup', 'main_motivation': 'guadagno', 'job_satisfaction': '2', 'desired_seniority': 'mid'}",2026-03-13T11:28:48.998+00:00,2026-03-13T11:28:48.746+00:00,v1,
b7a89b44-afd3-47c1-8355-810d11134206,9f3c485e-7fa6-498a-b7cc-5ab7ca1d3f0a,profilo,"{'gender': 'donna', 'age_group': '25-34', 'field_of_study': 'Lingue straniere ', 'education_level': 'diploma'}",2026-03-13T12:18:05.519585+00:00,2026-03-13T12:18:05.276+00:00,v1,
f170f302-325e-48dd-9d83-552fa0936a23,9f3c485e-7fa6-498a-b7cc-5ab7ca1d3f0a,competenze,"{'sector': 'Aviazione / servizi di assistenza a terra per voli privati/ consulente commerciale ', 'role_type': 'servizio_clienti', 'years_experience': '10+'}",2026-03-13T12:18:31.29578+00:00,2026-03-13T12:18:31.152+00:00,v1,
bdf0df57-cf96-4467-ad30-ecb48fbeaff5,9f3c485e-7fa6-498a-b7cc-5ab7ca1d3f0a,preferenze,"{'work_mode': 'presenza', 'target_role': 'receptionist', 'company_size': 'pmI', 'main_motivation': 'stabilita', 'job_satisfaction': '3', 'desired_seniority': 'mid'}",2026-03-13T12:19:06.306795+00:00,2026-03-13T12:19:06.053+00:00,v1,
f831e731-f9b2-4b0c-be9e-a63d8fcef3fd,d87cecce-e8cd-4a21-afeb-e6f544cfa6bf,profilo,"{'gender': 'uomo', 'age_group': '18-24', 'field_of_study': 'Socio sanitario', 'education_level': 'diploma'}",2026-03-13T12:24:51.383906+00:00,2026-03-13T12:24:51.28+00:00,v1,
35ec80c2-d3e0-424f-87f1-3c9fa05149fd,d87cecce-e8cd-4a21-afeb-e6f544cfa6bf,competenze,"{'sector': 'Addetto vendita', 'role_type': 'commerciale', 'years_experience': '1-2'}",2026-03-13T12:25:20.709507+00:00,2026-03-13T12:25:20.616+00:00,v1,
0b92119b-46ed-447b-9c15-4027bf46d534,d87cecce-e8cd-4a21-afeb-e6f544cfa6bf,preferenze,"{'work_mode': 'presenza', 'target_role': 'sales_ops', 'company_size': 'grande_impresa', 'main_motivation': 'guadagno', 'job_satisfaction': '4', 'desired_seniority': 'junior'}",2026-03-13T12:26:20.592982+00:00,2026-03-13T12:26:20.418+00:00,v1,
06fac040-d783-46d7-b531-a3c32b26ed5a,ecc9b49b-2192-453d-adbc-0d61675e9fda,profilo,"{'gender': 'donna', 'age_group': '25-34', 'field_of_study': 'Biotecnologie sanitarie ', 'education_level': 'diploma'}",2026-03-13T12:44:59.875036+00:00,2026-03-13T12:44:59.58+00:00,v1,
ac8e9c61-7712-475c-9e48-571675ba5e98,ecc9b49b-2192-453d-adbc-0d61675e9fda,competenze,"{'sector': 'Addetta alla vendita ', 'role_type': 'commerciale', 'years_experience': '10+'}",2026-03-13T12:45:20.642118+00:00,2026-03-13T12:45:20.549+00:00,v1,
33e674e2-53fa-47dc-b5cd-9de9eb7d402f,ecc9b49b-2192-453d-adbc-0d61675e9fda,preferenze,"{'work_mode': 'presenza', 'target_role': 'sales_ops', 'company_size': 'grande_impresa', 'main_motivation': 'stabilita', 'job_satisfaction': '4', 'desired_seniority': 'mid'}",2026-03-13T12:45:46.635854+00:00,2026-03-13T12:45:46.542+00:00,v1,
46222bb7-b61a-4d6b-a265-9a580f61d45c,5b4b3665-89c7-4dc4-aead-b05cdbf6531a,profilo,"{'gender': 'donna', 'age_group': '25-34', 'field_of_study': 'Elettronico', 'education_level': 'diploma'}",2026-03-13T12:55:32.684909+00:00,2026-03-13T12:55:32.567+00:00,v1,
a77bf7dc-e0b2-4553-9c62-3fe28cddbb8b,5b4b3665-89c7-4dc4-aead-b05cdbf6531a,competenze,"{'sector': 'Addetta vendite', 'role_type': 'commerciale', 'years_experience': '3-5'}",2026-03-13T12:56:14.11488+00:00,2026-03-13T12:56:13.991+00:00,v1,
fb739038-cb7e-4a3a-857d-49fc090b1005,81b86abc-d94a-48ef-9f0d-86364117876b,profilo,"{'gender': 'donna', 'age_group': '35-44', 'field_of_study': 'Servizi sociali ', 'education_level': 'diploma'}",2026-03-13T12:56:22.89359+00:00,2026-03-13T12:56:22.771+00:00,v1,
a9998f74-4857-437b-9892-df690957876a,81b86abc-d94a-48ef-9f0d-86364117876b,competenze,"{'sector': 'Vendita ', 'role_type': 'commerciale', 'years_experience': '10+'}",2026-03-13T12:57:08.213101+00:00,2026-03-13T12:57:08.11+00:00,v1,
db728c43-f5e3-43c2-9bb5-ae24ccd40c6f,81b86abc-d94a-48ef-9f0d-86364117876b,preferenze,"{'work_mode': 'presenza', 'target_role': 'sales_ops', 'company_size': 'pmI', 'main_motivation': 'stabilita', 'job_satisfaction': '3', 'desired_seniority': 'mid'}",2026-03-13T12:58:26.141924+00:00,2026-03-13T12:58:25.81+00:00,v1,
